mapid,name,category1,category2,address,short_description,url,geom,geo_local_area,longitude,latitude
GCP278,Electric Vehicle Charging Station,Private projects,Clean-Air,401 W Georgia St,Accenture / BMO. Enter off Homer St. Bottom of entrance of parkade. Single L2 charger. No cost to charge but must pay to park.,http://www.plugshare.com/?location=12162,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1146061, 49.28133392], 'type': 'Point'}, 'properties': {}}",Downtown,-123.1146061,49.28133392
GCP282,Electric Vehicle Charging Station,Private projects,Clean-Air,900 Canada Place Way,Fairmont Waterfront Vancouver.  Two charging docks opposite entrance. The EVSE stations are open to hotel guests and the public. A flat rate of $20 (facilities access fee) is applicable to non-registered guests.,http://www.plugshare.com/?location=3796,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1133559, 49.28731757], 'type': 'Point'}, 'properties': {}}",Downtown,-123.1133559,49.28731757
GCP297,Electric Vehicle Charging Station,City projects,Clean-Air,1040 W Pender St.,Bentall Tours. 4 charging stations. Part of FCM funded trial.,http://www.plugshare.com/?location=16034,"{'type': 'Feature', 'geometry': {'coordinates': [-123.11957, 49.2870722], 'type': 'Point'}, 'properties': {}}",Downtown,-123.11957,49.2870722
GCP307,Community Garden,Private projects,Local-Food,1025   Boundary Rd,Adanac Park,http://vancouver.ca/people-programs/community-gardens.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0229696, 49.27759685], 'type': 'Point'}, 'properties': {}}",,-123.0229696,49.27759685
GCP331,Community Garden,Private projects,Local-Food,803  E 16th Ave,Grace Memorial Church,http://vancouver.ca/people-programs/community-gardens.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0869648, 49.25636407], 'type': 'Point'}, 'properties': {}}",Mount Pleasant,-123.0869648,49.25636407
GCP341,Community Garden,Private projects,Local-Food,6199   Cypress St,Maple Grove Elementary,http://vancouver.ca/people-programs/community-gardens.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1489825, 49.23072338], 'type': 'Point'}, 'properties': {}}",Kerrisdale,-123.1489825,49.23072338
GCP354,Community Garden,Private projects,Local-Food,1100  Vernon Dr,Purple Thistle Garden II,http://vancouver.ca/people-programs/community-gardens.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0790065, 49.27479557], 'type': 'Point'}, 'properties': {}}",Strathcona,-123.0790065,49.27479557
GCP001,River District Energy Utility Project,Private projects,Climate-Leadership,8683 Kerr St,BC's only publicly regulated developer-owned District Energy Utility (DEU),http://www.riverdistrict.ca/about-here/district-energy-utility/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0425051, 49.20627278], 'type': 'Point'}, 'properties': {}}",Killarney,-123.0425051,49.20627278
GCP006,LEED Platinum Core and Shell Certified i,Private projects,Green-Buildings,2930 & 2940 Virtual Way,Broadway Tech Centre 5&7,http://www.broadwaytechcentre.com/features_campusexperience.html,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0440375, 49.2610221], 'type': 'Point'}, 'properties': {}}",Renfrew-Collingwood,-123.0440375,49.2610221
GCP009,LEED Platinum Building Certified in 2010,Private projects,Green-Buildings,3987 W 21st AV,Kerchum Residence,http://www.cagbc.org/Content/NavigationMenu/Programs/LEED/ProjectProfilesandStats/default.htm,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1931104, 49.25386623], 'type': 'Point'}, 'properties': {}}",Dunbar-Southlands,-123.1931104,49.25386623
GCP017,LEED Gold Building Certified 2011,Private projects,Green-Buildings,100 W 49th Av,"Langara College, Students' Union and C Buildings",http://www.langara.bc.ca/index.html,"{'type': 'Feature', 'geometry': {'coordinates': [-123.10892001986, 49.2248320062448], 'type': 'Point'}, 'properties': {}}",Oakridge,-123.10892001986,49.2248320062448
GCP021,LEED Gold Building Certified 2011,City projects,Green-Buildings,6810 Main St,Sunset Community Centre,http://www.greenbuildingaudiotours.com/buildings/sunset_community_centre,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1011826, 49.22284563], 'type': 'Point'}, 'properties': {}}",Sunset,-123.1011826,49.22284563
GCP022,LEED Gold Building Certified 2010,Private projects,Green-Buildings,122 Walter Hardwick Av,SEFC Parcel 5 (Millennium Water / City of Vancouver Housing),http://www.millenniumdevelopment.com/Olympic-Village/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1073258, 49.27092693], 'type': 'Point'}, 'properties': {}}",Mount Pleasant,-123.1073258,49.27092693
GCP025,LEED Gold Building Certified 2010,Private projects,Green-Buildings,1625 Manitoba St,Millennium Water- 1625 Manitoba Street (Parcel 6),http://www.millenniumdevelopment.com/Olympic-Village/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1066916, 49.27154805], 'type': 'Point'}, 'properties': {}}",Mount Pleasant,-123.1066916,49.27154805
GCP028,LEED Gold Building Certified 2010,Private projects,Green-Buildings,1661 Ontario St,Millennium Water - 1661 Ontario Street (Parcel 9),http://www.millenniumdevelopment.com/Olympic-Village/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1047594, 49.27050528], 'type': 'Point'}, 'properties': {}}",Mount Pleasant,-123.1047594,49.27050528
GCP039,Van Dusen Garden’s Visitor Centre Living,City projects,Green-Buildings,5251 Oak St,"Canada's first Living Building - generates all of its own power, and treats all of its own waste water.",http://vancouver.ca/vandusen/capitalproject/philosophy.htm,"{'type': 'Feature', 'geometry': {'coordinates': [-123.12877, 49.238553], 'type': 'Point'}, 'properties': {}}",Shaughnessy,-123.12877,49.238553
GCP051,Bikes N Business,City Studio Project,Green-Transportation,243 Union St,Fall 2012 City Studio Project - Developed  solutions for businesses to benefit from encouraging cycling,http://citystudiovancouver.com/projects/bike-n-business/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.098056, 49.27772105], 'type': 'Point'}, 'properties': {}}",Strathcona,-123.098056,49.27772105
GCP056,ResponsibiliTREES,City Studio Project,Access-to-Nature,Mount Pleasant neighbourhood,Spring 2012 City Studio Project - Project created a framework and recommendations for a residential planting strategy,http://citystudiovancouver.com/projects/150000-trees/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.107650003003, 49.2582799874185], 'type': 'Point'}, 'properties': {}}",Mount Pleasant,-123.107650003003,49.2582799874185
GCP064,Kickstand,Private projects,Green-Transportation,1739 Venables St,Kickstand offers accessible work space for you to fix your bike in a supportive atmosphere.,http://eastvankickstand.org/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0703298, 49.27485608], 'type': 'Point'}, 'properties': {}}",Grandview-Woodland,-123.0703298,49.27485608
GCP069,Parklets,City projects,Access-to-Nature,800 44th Ave,Hot Tubs at Fraser and 44th. A permanent mini-park in the city.,http://vancouver.ca/streets-transportation/reducing-cars-on-city-streets.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0907438, 49.23028799], 'type': 'Point'}, 'properties': {}}",Sunset,-123.0907438,49.23028799
